sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
479,4800250583,12580000083,12580250666,250583
480,4810248916,12590000083,12590249000,248917
481,4820431875,12600000083,12600431958,431875
482,4830482125,12610000083,12610482208,482125
483,4840247416,12620000083,12620247500,247417
484,4850241958,12630000083,12630242041,241958
485,4860245541,12640000083,12640245625,245542
486,4870247666,12650000083,12650247750,247667
487,4880243083,12660000083,12660243166,243083
488,4890244333,12670000083,12670244416,244333
489,4900245583,12680000083,12680245666,245583
490,4910243916,12690000083,12690244000,243917
491,4920243708,12700000083,12700243791,243708
492,4930243791,12710000083,12710243875,243792
493,4940243875,12720000083,12720243958,243875
494,4950246000,12730000083,12730246083,246000
495,4960248708,12740000083,12740248791,248708
496,4970245583,12750000083,12750245666,245583
497,4980248291,12760000083,12760248375,248292
498,4990248083,12770000083,12770248166,248083
499,5000248166,12780000083,12780248250,248167
500,5010250291,12790000083,12790250375,250292
501,5020248916,12800000083,12800249000,248917
502,5030249875,12810000083,12810249958,249875
503,5040249083,12820000083,12820249166,249083
504,5050656625,12830000083,12830656708,656625
505,5060245750,12840000083,12840245833,245750
506,5070245833,12850000083,12850245916,245833
507,5080246208,12860000083,12860246291,246208
508,5090243083,12870000083,12870243166,243083
509,5100245500,12880000083,12880245583,245500
510,5110242958,12890000083,12890243041,242958
511,5120243041,12900000083,12900243125,243042
512,5130245458,12910000083,12910245541,245458
513,5140243500,12920000083,12920243583,243500
514,5150246500,12930000083,12930246583,246500
515,5160246875,12940000083,12940246958,246875
516,5170246083,12950000083,12950246166,246083
517,5180248500,12960000083,12960248583,248500
518,5190248000,12970000083,12970248083,248000
519,5200247791,12980000083,12980247875,247792
520,5210250500,12990000083,12990250583,250500
521,5220249416,13000000083,13000249500,249417
522,5230249208,13010000083,13010249291,249208
523,5240249291,13020000083,13020249375,249292
524,5250711375,13030000083,13030711458,711375
525,5260244500,13040000083,13040244583,244500
526,5270249541,13050000083,13050249625,249542
527,5280245833,13060000083,13060245916,245833
528,5290243291,13070000083,13070243375,243292
529,5300243958,13080000083,13080244041,243958
530,5310242875,13090000083,13090242958,242875
531,5320242958,13100000083,13100243041,242958
532,5330244791,13110000083,13110244875,244792
533,5340243708,13120000083,13120243791,243708
534,5350249625,13130000083,13130249708,249625
535,5360250291,13140000083,13140250375,250292
536,5370251250,13150000083,13150251333,251250
537,5380248708,13160000083,13160248791,248708
538,5390455000,13170000083,13170455083,455000
539,5400316833,13180000083,13180316916,316833
540,5410246041,13190000083,13190246125,246042
541,5420246125,13200000083,13200246208,246125
542,5430245625,13210000083,13210245708,245625
543,5440247458,13220000083,13220247541,247458
544,5450242875,13230000083,13230242958,242875
545,5460245875,13240000083,13240245958,245875
546,5470245958,13250000083,13250246041,245958
547,5480246916,13260000083,13260247000,246917
548,5490243208,13270000083,13270243291,243208
549,5500246500,13280000083,13280246583,246500
550,5510246875,13290000083,13290246958,246875
551,5520244041,13300000083,13300244125,244042
552,5530247041,13310000083,13310247125,247042
553,5540249166,13320000083,13320249250,249167
554,5550248083,13330000083,13330248166,248083
555,5560252250,13340000083,13340252333,252250
556,5570252041,13350000083,13350252125,252042
557,5580250083,13360000083,13360250166,250083
558,5590249291,13370000083,13370249375,249292
559,5600431083,13380000083,13380431166,431083
560,5610479000,13390000083,13390479083,479000
561,5620244583,13400000083,13400244666,244583
562,5630249041,13410000083,13410249125,249042
563,5640245916,13420000083,13420246000,245917
564,5650241916,13430000083,13430242000,241917
565,5660246083,13440000083,13440246166,246083
566,5670245875,13450000083,13450245958,245875
567,5680247125,13460000083,13460247208,247125
568,5690246041,13470000083,13470246125,246042
569,5700247875,13480000083,13480247958,247875
570,5710245916,13490000083,13490246000,245917
571,5720245125,13500000083,13500245208,245125
572,5730245791,13510000083,13510245875,245792
573,5740246166,13520000083,13520246250,246167
574,5750246250,13530000083,13530246333,246250
575,5760246333,13540000083,13540246416,246333
576,5770246708,13550000083,13550246791,246708
577,5780245916,13560000083,13560246000,245917
578,5790246000,13570000083,13570246083,246000
579,5800247541,13580000083,13580247625,247542
580,5810248500,13590000083,13590248583,248500
581,5820249750,13600000083,13600249833,249750
582,5830251291,13610000083,13610251375,251292
583,5840253416,13620000083,13620253500,253417
584,5850427916,13630000083,13630428000,427917
585,5860478458,13640000083,13640478541,478458
586,5870245500,13650000083,13650245583,245500
587,5880245875,13660000083,13660245958,245875
588,5890245083,13670000083,13670245166,245083
589,5900248083,13680000083,13680248166,248083
590,5910245541,13690000083,13690245625,245542
591,5920245916,13700000083,13700246000,245917
592,5930247166,13710000083,13710247250,247167
593,5940246958,13720000083,13720247041,246958
594,5950245875,13730000083,13730245958,245875
595,5960247708,13740000083,13740247791,247708
596,5970246916,13750000083,13750247000,246917
597,5980245541,13760000083,13760245625,245542
598,5990245916,13770000083,13770246000,245917
599,6000245708,13780000083,13780245791,245708
600,6010245791,13790000083,13790245875,245792
601,6020244416,13800000083,13800244500,244417
602,6030246250,13810000083,13810246333,246250
603,6040246333,13820000083,13820246416,246333
604,6050249916,13830000083,13830250000,249917
605,6060249416,13840000083,13840249500,249417
606,6070250958,13850000083,13850251041,250958
607,6080252500,13860000083,13860252583,252500
608,6090249375,13870000083,13870249458,249375
609,6100276000,13880000083,13880276083,276000
610,6110340833,13890000083,13890340916,340833
611,6120246125,13900000083,13900246208,246125
612,6130244750,13910000083,13910244833,244750
613,6140244541,13920000083,13920244625,244542
614,6150249875,13930000083,13930249958,249875
615,6160246166,13940000083,13940246250,246167
616,6170246250,13950000083,13950246333,246250
617,6180245458,13960000083,13960245541,245458
618,6190246708,13970000083,13970246791,246708
619,6200248833,13980000083,13980248916,248833
620,6210247166,13990000083,13990247250,247167
621,6220245791,14000000083,14000245875,245792
622,6230245583,14010000083,14010245666,245583
623,6240242458,14020000083,14020242541,242458
624,6250245166,14030000083,14030245250,245167
625,6260247291,14040000083,14040247375,247292
626,6270246208,14050000083,14050246291,246208
627,6280246000,14060000083,14060246083,246000
628,6290245791,14070000083,14070245875,245792
629,6300248208,14080000083,14080248291,248208
630,6310248291,14090000083,14090248375,248292
631,6320248375,14100000083,14100248458,248375
632,6330252541,14110000083,14110252625,252542
633,6340250875,14120000083,14120250958,250875
634,6350250083,14130000083,14130250166,250083
635,6360249583,14140000083,14140249666,249583
636,6370402208,14150000083,14150402291,402208
637,6380246833,14160000083,14160246916,246833
